INFO 2025-10-21 14:19:23,968 views    - Edward Ramirez: Presente
INFO 2025-10-21 14:19:23,968 views ============================================================
INFO 2025-10-21 14:19:23,972 views ============================================================
INFO 2025-10-21 14:19:24,287 views    - Josefito perez: Tiene Excusa
INFO 2025-10-21 14:19:24,289 views    - Cristian Rodriguez: Ausente
INFO 2025-10-21 14:19:24,289 views    - Edward Ramirez: Presente
INFO 2025-10-21 14:19:24,290 views ============================================================
INFO 2025-10-21 14:22:11,293 views ============================================================
INFO 2025-10-21 14:22:11,708 views    - Josefito perez: Tiene Excusa
INFO 2025-10-21 14:22:11,708 views    - Cristian Rodriguez: Ausente
INFO 2025-10-21 14:22:11,708 views    - Edward Ramirez: Presente
INFO 2025-10-21 14:22:11,708 views ============================================================
